 6.0256 111.979 166.855 102.18 112.139 181.769 102.381 104.311 186.909 95.5671
 6.30957 105.865 168.792 105.913 102.36 180.16 102.412 102.648 185.412 103.051
 6.60693 99.6914 170.012 108.906 91.1457 177.577 100.022 98.3391 183.482 108.221
 6.91831 91.8113 170.614 109.548 86.8281 174.326 104.694 90.2104 181.171 108.817
 7.24436 82.9468 170.728 108.182 82.1652 170.665 108.527 77.9337 178.545 102.862
 7.58578 80.1824 170.476 115.578 75.5598 166.81 109.731 62.9533 175.687 91.105
 7.94328 76.6299 169.962 120.728 73.4335 162.953 116.728 51.7084 172.668 79.208
 8.31764 70.0565 169.273 120.835 70.1784 159.182 122.228 46.4837 169.582 80.6106
 8.70964 61.7545 168.48 116.541 65.9699 155.589 125.913 43.1683 166.446 79.4515
 9.12011 52.6706 167.638 108.61 60.9459 152.236 127.496 40.6176 163.302 81.7362
 9.54993 43.5052 166.786 97.942 55.1335 149.161 126.325 38.1384 160.185 85.1112
 10 34.7975 165.956 86.4502 48.315 146.38 121.143 37.9467 157.124 95.5158
